"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1376","Register a new customer via API","","Thu Apr 10 17:00:44 IST 2025","passed","Thu Apr 10 17:00:46 IST 2025","",".github\workflows\API\customermeters.spec.js","",""
"","12600","User can log in","","Wed Apr 09 20:43:08 IST 2025","passed","Wed Apr 09 20:43:20 IST 2025","","tests\example.spec.js","",""
"","953","Use token in API request","","Thu Apr 10 11:00:21 IST 2025","failed","Thu Apr 10 11:00:22 IST 2025","","tests\api-login1.spec.js","",""
"","1087","Register a new customer via API","","Thu Apr 10 17:13:07 IST 2025","passed","Thu Apr 10 17:13:08 IST 2025","",".github\workflows\API\rtaaddaccount.spec.js","",""
"","1619","Register a new customer via API","","Thu Apr 10 17:48:50 IST 2025","passed","Thu Apr 10 17:48:51 IST 2025","",".github\workflows\API\makepayment.spec.js","",""
"","958","login API should return a token","","Thu Apr 10 15:25:04 IST 2025","passed","Thu Apr 10 15:25:05 IST 2025","","tests\api-login.spec.js","",""
"","1100","Register a new customer via API","","Thu Apr 10 17:19:47 IST 2025","passed","Thu Apr 10 17:19:48 IST 2025","",".github\workflows\API\forgotpassword.spec.js","",""
"","3332","Register a new customer via API","","Thu Apr 10 16:57:11 IST 2025","passed","Thu Apr 10 16:57:15 IST 2025","",".github\workflows\API\salesinvoice.spec.js","",""
"","1359","Register a new customer via API","","Thu Apr 10 17:34:16 IST 2025","passed","Thu Apr 10 17:34:17 IST 2025","",".github\workflows\API\getmeterdetails.spec.js","",""
"","1169","Get auth token from login API","","Thu Apr 10 10:44:58 IST 2025","failed","Thu Apr 10 10:44:59 IST 2025","","tests\api-login1.spec.js","",""
"","935","Register a new customer via API","","Thu Apr 10 16:41:57 IST 2025","passed","Thu Apr 10 16:41:58 IST 2025","",".github\workflows\API\sendotp.spec.js","",""
"","1480","Register a new customer via API","","Thu Apr 10 16:51:34 IST 2025","passed","Thu Apr 10 16:51:35 IST 2025","",".github\workflows\API\addaccount.spec.js","",""
"","135903","Login with random credentials","","Wed Apr 09 14:44:43 IST 2025","failed","Wed Apr 09 14:46:59 IST 2025","","tests\regcus.spec.js","",""
"","3131","Simulate slow network & CPU","","Wed Apr 09 18:13:52 IST 2025","passed","Wed Apr 09 18:13:55 IST 2025","","tests\example.spec.js","",""
"","526","Login via API and use token in UI tests","","Thu Apr 10 14:58:52 IST 2025","failed","Thu Apr 10 14:58:53 IST 2025","","tests\api-login1.spec.js","",""
"","891","Register a new customer via API","","Thu Apr 10 16:55:09 IST 2025","passed","Thu Apr 10 16:55:10 IST 2025","",".github\workflows\API\api-getaccount.spec.js","",""
"","996","Register a new customer via API","","Thu Apr 10 17:10:18 IST 2025","passed","Thu Apr 10 17:10:19 IST 2025","",".github\workflows\API\gisaddaccount.spec.js","",""
"","2782","Track specific resource load time","","Wed Apr 09 18:51:03 IST 2025","passed","Wed Apr 09 18:51:05 IST 2025","","tests\example.spec.js","",""
"","11243","User can log in","","Wed Apr 09 21:04:53 IST 2025","failed","Wed Apr 09 21:05:04 IST 2025","","tests\performance.spec.js","",""
"","1119","Login API - Get Token and Use It","","Thu Apr 10 10:49:16 IST 2025","failed","Thu Apr 10 10:49:17 IST 2025","","tests\api-login1.spec.js","",""
"","1444","Register a new customer via API","","Thu Apr 10 17:44:03 IST 2025","passed","Thu Apr 10 17:44:05 IST 2025","",".github\workflows\API\invoicelist.spec.js","",""
"","3455","Register a new customer via API","","Thu Apr 10 17:08:40 IST 2025","passed","Thu Apr 10 17:08:44 IST 2025","",".github\workflows\API\properties.spec.js","",""
"","2530","Measure page load time","","Wed Apr 09 18:12:26 IST 2025","passed","Wed Apr 09 18:12:28 IST 2025","","tests\example.spec.js","",""
"","10153","User can log in","","Wed Apr 09 14:47:33 IST 2025","passed","Wed Apr 09 14:47:43 IST 2025","","tests\login.spec.js","",""
"","1057","Register a new customer via API","","Thu Apr 10 17:02:58 IST 2025","passed","Thu Apr 10 17:02:59 IST 2025","",".github\workflows\API\register.spec.js","",""
"","2884","Homepage loads under 2 seconds","","Wed Apr 09 18:52:07 IST 2025","failed","Wed Apr 09 18:52:10 IST 2025","","tests\example.spec.js","",""
"","1348","Register a new customer via API","","Thu Apr 10 15:21:31 IST 2025","passed","Thu Apr 10 15:21:32 IST 2025","","tests\api-login1.spec.js","",""
"","829","Login and use token for authorized request","","Thu Apr 10 10:41:22 IST 2025","failed","Thu Apr 10 10:41:23 IST 2025","","tests\api-login1.spec.js","",""
"","800","Login without token","","Thu Apr 10 13:40:44 IST 2025","failed","Thu Apr 10 13:40:44 IST 2025","","tests\api-login1.spec.js","",""
